week,quantity,price,lakes,collusion,dm1,dm2,dm3,dm4,seas1,seas2,seas3,seas4,seas5,seas6,seas7,seas8,seas9,seas10,seas11,seas12,seas13
30,14834,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,11149,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,16035,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,18555,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,17413,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,19412,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,20240,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,11824,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,17793,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,20157,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,18623,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,19062,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,20840,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,18972,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,19690,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,20206,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,23081,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,21209,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
48,13753,0.35,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,14956,0.35,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,13295,0.35,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,16935,0.35,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,24499,0.35,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,20078,0.35,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,24144,0.35,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,26157,0.35,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,22055,0.35,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,21973,0.35,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,23794,0.35,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,23116,0.35,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,23578,0.35,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,21568,0.35,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,17494,0.35,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,16260,0.35,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,26690,0.35,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,21723,0.35,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66,30625,0.35,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67,36618.5,0.35,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,42182,0.3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69,47432,0.25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,43822,0.3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,36457.63,0.3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,29093.34,0.3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
73,21729,0.3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
74,21265,0.3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
75,18505,0.3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
76,14540,0.3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
77,19366,0.3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
78,55732,0.25,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
79,42346,0.15,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80,28960,0.15,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81,30434,0.15,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,26139,0.15,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
83,31075,0.15,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
84,29433,0.15,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,29136,0.15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86,31126,0.15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,35384,0.15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,36701,0.15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
89,37771,0.15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,38247,0.15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91,39518,0.15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92,30603,0.15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93,28383,0.125,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
94,24678,0.125,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
95,27839,0.125,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96,26767,0.125,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
97,24041,0.125,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,23355,0.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
99,26491,0.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,20900,0.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,26410,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,26195,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,22427,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
104,27535,0.125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,25738,0.125,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,23429,0.125,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107,32745,0.125,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108,37950,0.125,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
109,41466,0.2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110,49276,0.2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,37850,0.2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112,32893,0.2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
113,24410,0.2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
114,15104,0.2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
115,13819,0.2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,22959,0.25,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117,14486,0.25,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118,15254,0.25,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119,16607,0.25,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,17475,0.25,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
121,12704,0.25,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
122,14399,0.25,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
123,12023,0.25,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
124,9626,0.25,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
125,6482,0.25,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
126,10520,0.25,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
127,12588,0.25,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
128,12468,0.25,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
129,10930,0.25,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
130,10997,0.25,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
131,8618,0.25,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
132,4810,0.25,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
133,5832,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
134,8536,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
135,11204,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
136,10591,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
137,9978,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
138,9374,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
139,19466,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
140,23085,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
141,18981,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
142,16595,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
143,13182,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
144,11626,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
145,12996,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
146,14852,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
147,11508,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
148,12996,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
149,17942,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
150,15498,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
151,18121,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
152,17914,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
153,21217,0.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,22418,0.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
155,26230,0.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
156,26458,0.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
157,36168,0.3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
158,30721,0.3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
159,41071,0.3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
160,28865,0.3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
161,29221,0.3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
162,22245,0.3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
163,20377,0.3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
164,36343,0.3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
165,33227,0.3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
166,33806,0.3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
167,43998,0.3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
168,45342,0.3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
169,45659,0.3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
170,30864,0.3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
171,16522,0.3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
172,20085,0.3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
173,18262,0.25,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
174,19415,0.25,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
175,22792,0.25,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
176,23903,0.25,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
177,14761,0.25,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
178,10901,0.25,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
179,14868,0.25,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
180,17271,0.25,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
181,16179,0.25,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
182,15576,0.25,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
183,12292,0.25,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
184,7627,0.25,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
185,9888,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
186,11080,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
187,13782,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
188,15181,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
189,11906,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
190,14763,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
191,22934,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
192,23252,0.25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
193,25164,0.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
194,33879,0.2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
195,32428,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
196,31256,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
197,27805,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
198,34663,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
199,30187,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
200,27277,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
201,29521,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
202,31280,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
203,30601,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
204,31553,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
205,42735,0.3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
206,28241,0.3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
207,29221,0.3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
208,27894,0.3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
209,21911,0.3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
210,16685,0.3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
211,23504,0.2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
212,41210,0.3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
213,35058,0.3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
214,27065,0.3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
215,29404,0.3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
216,25269,0.3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
217,29219,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
218,29291,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
219,29217,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
220,32643,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
221,37902,0.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
222,53282,0.15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
223,70793,0.15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
224,76407,0.15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
225,65944,0.15,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
226,51242,0.15,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
227,42464,0.15,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
228,36603,0.15,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
229,32376,0.15,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
230,37927,0.15,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
231,37905,0.15,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
232,34782,0.15,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
233,43146,0.15,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
234,38104,0.15,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
235,41901,0.2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
236,25829,0.2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
237,15480,0.2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
238,18461,0.2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
239,20716,0.25,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
240,14492,0.25,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
241,13004,0.25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
242,16754,0.25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
243,23268,0.25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
244,18972,0.15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
245,15531,0.15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
246,17154,0.15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
247,23416,0.15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
248,26541,0.15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
249,33592,0.15,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
250,36235,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
251,22372,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
252,23876,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
253,31600,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
254,31419,0.25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
255,27814,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
256,32530,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
257,33624,0.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
258,34718,0.25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
259,35812,0.25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
260,26844,0.25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
261,16938,0.25,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
262,19362,0.2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
263,29761,0.2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
264,43777,0.2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
265,32995,0.2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
266,50340,0.2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
267,52131,0.25,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
268,30913,0.25,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
269,22887,0.25,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
270,30911,0.25,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
271,36354,0.25,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
272,38989,0.2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
273,47087,0.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
274,44805,0.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
275,46694,0.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
276,54188,0.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
277,40650,0.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
278,34674,0.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
279,27430,0.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
280,53360,0.15,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
281,43018,0.15,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
282,33691,0.15,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
283,27424,0.15,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
284,30120,0.15,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
285,30488,0.15,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
286,31223,0.15,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
287,21562,0.15,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
288,24892,0.15,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
289,20864,0.15,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
290,19128,0.15,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
291,9778,0.2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
292,7528,0.2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
293,15773,0.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
294,10737,0.15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
